"order_date","daily_revenue","daily_orders"
"2025-02-07","236.94","1"
"2025-02-08","329.53","1"
"2025-02-09","288.14","2"
"2025-02-11","576.92","3"
"2025-02-13","1176.36","5"
"2025-02-14","787.28","4"
"2025-02-15","1340.23","4"
"2025-02-16","2101.79","6"
"2025-02-17","1227.84","4"
"2025-02-18","1323.86","6"
"2025-02-19","897.55","4"
"2025-02-20","1082.51","3"
"2025-02-21","1747.03","8"
"2025-02-22","2665.30","8"
"2025-02-23","2481.05","9"
"2025-02-24","515.22","3"
"2025-02-25","767.38","5"
"2025-02-26","603.23","2"
"2025-02-27","2780.31","9"
"2025-02-28","2544.38","13"
"2025-03-01","1317.75","7"
"2025-03-02","2835.99","12"
"2025-03-03","3305.25","13"
"2025-03-04","1879.07","11"
"2025-03-05","2237.12","9"
"2025-03-06","821.74","3"
"2025-03-07","1792.72","5"
"2025-03-08","2610.01","11"
"2025-03-09","3102.12","14"
"2025-03-10","1777.85","5"
"2025-03-11","2889.63","10"
"2025-03-12","2412.16","8"
"2025-03-13","2036.86","7"
"2025-03-14","2716.30","9"
"2025-03-15","1598.48","6"
"2025-03-16","3871.14","14"
"2025-03-17","4668.45","17"
"2025-03-18","3021.86","12"
"2025-03-19","5626.54","20"
"2025-03-20","2850.19","12"
"2025-03-21","3095.53","12"
"2025-03-22","4333.47","18"
"2025-03-23","3290.42","14"
"2025-03-24","3550.65","13"
"2025-03-25","4442.09","18"
"2025-03-26","3566.81","16"
"2025-03-27","4453.76","17"
"2025-03-28","4703.04","16"
"2025-03-29","4974.93","17"
"2025-03-30","5341.43","21"
"2025-03-31","5307.83","18"
"2025-04-01","3422.96","12"
"2025-04-02","5119.28","18"
"2025-04-03","3597.20","16"
"2025-04-04","3937.45","15"
"2025-04-05","5199.35","16"
"2025-04-06","5196.73","19"
"2025-04-07","6399.57","24"
"2025-04-08","6640.76","25"
"2025-04-09","6747.97","31"
"2025-04-10","7236.29","25"
"2025-04-11","5613.61","20"
"2025-04-12","5485.31","20"
"2025-04-13","6598.64","28"
"2025-04-14","8439.14","30"
"2025-04-15","3899.87","15"
"2025-04-16","3960.78","19"
"2025-04-17","3688.44","13"
"2025-04-18","4850.44","23"
"2025-04-19","6803.05","24"
"2025-04-20","9408.55","38"
"2025-04-21","5278.92","19"
"2025-04-22","7601.77","29"
"2025-04-23","7341.98","30"
"2025-04-24","7912.68","29"
"2025-04-25","7342.88","32"
"2025-04-26","7181.16","28"
"2025-04-27","8622.31","31"
"2025-04-28","7936.97","26"
"2025-04-29","8670.89","34"
"2025-04-30","7307.99","32"
"2025-05-01","7022.02","25"
"2025-05-02","5628.97","21"
"2025-05-03","8041.67","31"
"2025-05-04","8524.21","33"
"2025-05-05","4851.09","22"
"2025-05-06","7404.10","32"
"2025-05-07","7757.21","32"
"2025-05-08","7475.90","26"
"2025-05-09","11010.99","41"
"2025-05-10","5928.44","24"
"2025-05-11","8240.26","31"
"2025-05-12","8216.94","31"
"2025-05-13","6701.55","29"
"2025-05-14","9032.25","34"
"2025-05-15","10805.95","46"
"2025-05-16","11024.47","38"
"2025-05-17","10392.59","38"
"2025-05-18","6581.80","27"
"2025-05-19","11704.26","41"
"2025-05-20","8223.57","29"
"2025-05-21","8891.04","33"
"2025-05-22","11085.15","39"
"2025-05-23","10151.76","39"
"2025-05-24","9069.63","34"
"2025-05-25","11013.86","39"
"2025-05-26","8688.99","34"
"2025-05-27","9934.26","37"
"2025-05-28","10900.98","43"
"2025-05-29","9459.88","43"
"2025-05-30","14321.74","54"
"2025-05-31","8216.51","33"
"2025-06-01","11526.09","42"
"2025-06-02","11689.48","45"
"2025-06-03","13484.91","52"
"2025-06-04","9470.47","34"
"2025-06-05","11821.39","43"
"2025-06-06","9358.24","33"
"2025-06-07","10478.23","37"
"2025-06-08","12615.55","43"
"2025-06-09","12449.66","49"
"2025-06-10","13037.66","50"
"2025-06-11","13948.73","54"
"2025-06-12","13920.52","52"
"2025-06-13","13351.76","50"
"2025-06-14","16627.14","65"
"2025-06-15","12874.58","52"
"2025-06-16","12712.39","49"
"2025-06-17","12032.02","42"
"2025-06-18","12329.49","49"
"2025-06-19","15425.64","61"
"2025-06-20","14426.01","54"
"2025-06-21","13771.01","47"
"2025-06-22","14022.69","54"
"2025-06-23","9898.42","39"
"2025-06-24","12040.51","44"
"2025-06-25","11601.28","41"
"2025-06-26","14666.20","59"
"2025-06-27","13833.51","60"
"2025-06-28","10478.87","42"
"2025-06-29","12307.27","51"
"2025-06-30","16085.67","56"
"2025-07-01","13939.09","47"
"2025-07-02","13913.12","49"
"2025-07-03","14716.95","56"
"2025-07-04","9516.90","43"
"2025-07-05","14371.14","55"
"2025-07-06","15901.81","61"
"2025-07-07","17699.66","64"
"2025-07-08","15101.43","57"
"2025-07-09","17898.68","60"
"2025-07-10","15454.15","60"
"2025-07-11","14487.62","57"
"2025-07-12","11554.62","46"
"2025-07-13","20018.45","75"
"2025-07-14","16547.39","58"
"2025-07-15","13693.77","58"
"2025-07-16","15460.53","59"
"2025-07-17","16912.24","61"
"2025-07-18","14924.68","60"
"2025-07-19","14611.33","54"
"2025-07-20","15158.50","62"
"2025-07-21","16772.23","67"
"2025-07-22","13371.80","56"
"2025-07-23","19560.44","77"
"2025-07-24","16590.67","66"
"2025-07-25","15919.71","67"
"2025-07-26","17037.28","63"
"2025-07-27","16466.70","62"
"2025-07-28","21236.52","76"
"2025-07-29","14941.88","63"
"2025-07-30","19359.83","76"
"2025-07-31","16980.17","74"
"2025-08-01","18942.31","67"
"2025-08-02","19092.96","69"
"2025-08-03","13450.28","56"
"2025-08-04","16875.18","65"
"2025-08-05","15006.71","60"
"2025-08-06","19373.87","72"
"2025-08-07","12391.92","52"
"2025-08-08","17881.86","65"
"2025-08-09","23139.19","84"
"2025-08-10","22305.04","84"
"2025-08-11","20855.98","82"
"2025-08-12","21824.03","81"
"2025-08-13","18522.32","69"
"2025-08-14","23053.17","101"
"2025-08-15","20836.49","78"
"2025-08-16","20882.97","80"
"2025-08-17","18027.16","74"
"2025-08-18","22630.00","90"
"2025-08-19","17858.76","69"
"2025-08-20","20068.48","78"
"2025-08-21","23844.55","93"
"2025-08-22","19979.66","88"
"2025-08-23","17967.86","69"
"2025-08-24","20559.88","73"
"2025-08-25","18478.24","68"
"2025-08-26","22521.78","88"
"2025-08-27","21096.26","78"
"2025-08-28","22512.24","78"
"2025-08-29","21478.16","76"
"2025-08-30","28222.60","104"
"2025-08-31","27390.31","95"
"2025-09-01","21027.70","85"
"2025-09-02","21012.85","82"
"2025-09-03","20382.83","83"
"2025-09-04","23536.46","89"
"2025-09-05","20760.76","76"
"2025-09-06","25088.14","102"
"2025-09-07","24551.51","97"
"2025-09-08","24785.65","97"
"2025-09-09","24754.61","89"
"2025-09-10","20933.90","77"
"2025-09-11","23581.16","88"
"2025-09-12","19237.48","79"
"2025-09-13","22394.27","81"
"2025-09-14","26282.40","101"
"2025-09-15","24746.98","96"
"2025-09-16","23925.86","92"
"2025-09-17","31309.78","119"
"2025-09-18","27136.79","101"
"2025-09-19","27625.86","96"
"2025-09-20","25661.75","101"
"2025-09-21","21829.10","86"
"2025-09-22","23854.06","94"
"2025-09-23","31464.56","116"
"2025-09-24","27820.34","108"
"2025-09-25","29304.67","112"
"2025-09-26","20853.29","88"
"2025-09-27","32360.23","122"
"2025-09-28","27250.07","102"
"2025-09-29","25617.24","101"
"2025-09-30","23318.83","94"
"2025-10-01","27160.79","102"
"2025-10-02","30250.78","110"
"2025-10-03","25808.97","106"
"2025-10-04","32752.49","121"
"2025-10-05","25090.82","91"
"2025-10-06","30034.18","115"
"2025-10-07","26048.73","107"
"2025-10-08","32648.19","115"
"2025-10-09","25754.23","102"
"2025-10-10","30984.25","116"
"2025-10-11","35316.59","136"
"2025-10-12","25777.51","96"
"2025-10-13","31878.51","118"
"2025-10-14","35233.86","139"
"2025-10-15","29317.48","111"
"2025-10-16","28820.23","121"
"2025-10-17","35236.57","140"
"2025-10-18","27470.78","104"
"2025-10-19","34605.45","133"
"2025-10-20","30427.04","119"
"2025-10-21","32722.34","125"
"2025-10-22","36159.06","137"
"2025-10-23","37137.72","131"
"2025-10-24","35712.76","132"
"2025-10-25","33455.67","124"
"2025-10-26","38074.73","138"
"2025-10-27","41245.46","152"
"2025-10-28","37965.30","153"
"2025-10-29","34650.38","125"
"2025-10-30","36359.97","131"
"2025-10-31","42838.90","146"
"2025-11-01","33962.00","132"
"2025-11-02","37779.95","146"
"2025-11-03","39064.57","152"
"2025-11-04","35309.30","138"
"2025-11-05","35586.57","138"
"2025-11-06","35784.07","148"
"2025-11-07","37402.18","144"
"2025-11-08","36629.25","146"
"2025-11-09","37158.82","139"
"2025-11-10","37459.20","149"
"2025-11-11","40890.01","165"
"2025-11-12","37383.37","140"
"2025-11-13","37891.10","141"
"2025-11-14","45355.22","173"
"2025-11-15","42234.25","166"
"2025-11-16","37206.33","144"
"2025-11-17","34777.21","149"
"2025-11-18","39054.70","156"
"2025-11-19","50541.98","195"
"2025-11-20","44473.22","173"
"2025-11-21","45627.77","185"
"2025-11-22","42082.80","162"
"2025-11-23","39677.94","156"
"2025-11-24","41292.80","161"
"2025-11-25","41374.35","152"
"2025-11-26","50585.70","183"
"2025-11-27","46488.94","170"
"2025-11-28","42546.47","156"
"2025-11-29","46875.70","182"
"2025-11-30","37480.47","149"
"2025-12-01","44753.68","165"
"2025-12-02","45656.79","174"
"2025-12-03","47048.54","190"
"2025-12-04","53191.16","199"
"2025-12-05","41794.62","175"
"2025-12-06","46537.05","189"
"2025-12-07","45528.35","178"
"2025-12-08","45702.91","163"
"2025-12-09","46993.11","188"
"2025-12-10","44420.60","186"
"2025-12-11","45819.77","179"
"2025-12-12","52098.41","204"
"2025-12-13","47476.14","193"
"2025-12-14","54410.65","208"
"2025-12-15","56632.69","212"
"2025-12-16","47836.86","184"
"2025-12-17","49842.11","191"
"2025-12-18","56589.28","211"
"2025-12-19","48671.90","183"
"2025-12-20","57188.60","210"
"2025-12-21","64006.82","238"
"2025-12-22","52103.91","197"
"2025-12-23","62621.57","234"
"2025-12-24","61500.01","230"
"2025-12-25","58366.79","223"
"2025-12-26","69053.75","256"
"2025-12-27","46105.38","179"
"2025-12-28","58589.10","230"
"2025-12-29","55324.41","220"
"2025-12-30","60798.28","231"
"2025-12-31","58328.37","222"
"2026-01-01","59717.77","235"
"2026-01-02","59241.65","243"
"2026-01-03","62220.83","252"
"2026-01-04","67200.96","245"
"2026-01-05","69252.70","259"
"2026-01-06","65349.58","259"
"2026-01-07","66377.40","255"
"2026-01-08","73259.14","272"
"2026-01-09","61297.18","245"
"2026-01-10","69793.34","264"
"2026-01-11","69792.21","268"
"2026-01-12","72944.48","286"
"2026-01-13","70684.58","278"
"2026-01-14","71542.93","291"
"2026-01-15","77945.21","299"
"2026-01-16","75475.01","303"
"2026-01-17","76136.88","276"
"2026-01-18","80489.90","297"
"2026-01-19","78554.49","319"
"2026-01-20","75049.79","312"
"2026-01-21","85424.56","310"
"2026-01-22","89462.21","344"
"2026-01-23","85349.81","337"
"2026-01-24","88067.59","319"
"2026-01-25","94932.98","356"
"2026-01-26","96409.58","346"
"2026-01-27","92543.58","370"
"2026-01-28","103540.11","392"
"2026-01-29","101960.15","394"
"2026-01-30","120704.22","462"
"2026-01-31","112743.87","418"
"2026-02-01","111865.34","414"
"2026-02-02","129929.87","497"
"2026-02-03","129679.32","517"
"2026-02-04","151886.64","580"
"2026-02-05","178486.18","679"
