order_id,user_id,order_amount,order_date
1,1,57.98,2025-09-25
2,1,45.36,2025-06-12
3,1,93.84,2025-12-05
4,1,52.62,2025-05-25
5,1,309.8,2025-06-01
6,1,366.67,2026-01-24
7,1,204.51,2025-08-22
8,1,275.43,2025-08-01
9,1,390.5,2025-05-13
10,1,79.41,2025-07-07
11,2,427.25,2025-12-02
12,2,60.09,2025-11-18
13,2,332.46,2025-11-17
14,2,279.71,2025-11-17
15,2,411.74,2025-11-22
16,2,146.1,2025-12-07
17,2,204.53,2026-01-15
18,3,175.31,2025-12-23
19,3,240.29,2026-01-30
20,4,27.43,2025-11-16
21,4,120.31,2025-12-13
22,4,302.7,2025-12-26
23,4,306.67,2025-11-11
24,4,302.87,2025-11-02
25,4,191.27,2025-11-15
26,4,421.33,2025-11-02
27,4,71.92,2025-12-01
28,4,202.8,2026-01-15
29,5,166.89,2025-11-12
30,5,436.43,2025-12-03
31,6,392.29,2026-01-30
32,6,392.52,2026-01-30
33,7,215.79,2026-01-27
34,8,215.49,2026-02-04
35,8,293.98,2026-01-15
36,8,163.75,2026-02-05
37,8,70.97,2026-01-29
38,8,24.31,2026-01-05
39,8,187.36,2026-01-04
40,8,151.83,2026-01-07
41,8,387.08,2025-12-28
42,8,184.6,2026-02-03
43,8,98.6,2025-12-26
44,9,494.67,2025-09-16
45,9,408.75,2025-10-27
46,9,336.11,2025-10-06
47,9,303.75,2025-08-26
48,9,224.01,2025-11-14
49,9,33.79,2025-08-30
50,9,371.16,2025-12-31
51,9,112.54,2026-01-20
52,9,465.31,2025-08-12
53,9,368.41,2025-11-28
54,10,444.86,2026-02-03
55,10,323.43,2026-01-31
56,10,45.52,2026-02-05
57,10,295.71,2026-02-05
58,11,100.68,2025-12-13
59,12,482.91,2025-11-04
60,12,371.72,2025-11-09
61,12,245.23,2025-12-04
62,13,77.38,2026-01-22
63,13,252.0,2026-01-25
64,15,213.13,2025-12-01
65,15,342.6,2025-06-20
66,15,237.21,2025-09-09
67,15,233.48,2025-05-06
68,15,192.62,2025-09-08
69,15,356.85,2025-08-31
70,16,209.21,2025-12-18
71,16,31.55,2025-10-12
72,17,99.79,2025-06-26
73,17,174.59,2025-11-25
74,17,91.82,2025-09-23
75,17,380.62,2025-07-31
76,17,271.85,2025-08-28
77,18,491.1,2025-07-24
78,18,446.98,2025-08-15
79,18,470.57,2025-10-21
