payment_id,order_id,payment_amount,payment_date,payment_method
1,1,57.98,2025-09-25,Credit Card
2,2,45.36,2025-06-12,PayPal
3,3,93.84,2025-12-05,Debit Card
4,4,52.62,2025-05-25,Debit Card
5,5,309.8,2025-06-01,PayPal
6,6,366.67,2026-01-24,PayPal
7,7,204.51,2025-08-22,Debit Card
8,8,275.43,2025-08-01,Gift Card
9,9,390.5,2025-05-13,Gift Card
10,10,79.41,2025-07-07,Debit Card
11,11,427.25,2025-12-02,Credit Card
12,12,60.09,2025-11-18,Debit Card
13,13,332.46,2025-11-17,Credit Card
14,14,279.71,2025-11-17,PayPal
15,15,411.74,2025-11-22,Credit Card
16,16,146.1,2025-12-07,Credit Card
17,17,204.53,2026-01-15,PayPal
18,18,175.31,2025-12-23,Gift Card
19,19,240.29,2026-01-30,Debit Card
20,20,27.43,2025-11-16,Debit Card
21,21,120.31,2025-12-13,Debit Card
22,22,302.7,2025-12-26,PayPal
23,23,306.67,2025-11-11,Credit Card
24,24,302.87,2025-11-02,Debit Card
25,25,191.27,2025-11-15,Credit Card
26,26,421.33,2025-11-02,Credit Card
27,27,71.92,2025-12-01,PayPal
28,28,202.8,2026-01-15,Credit Card
29,29,166.89,2025-11-12,PayPal
30,30,436.43,2025-12-03,Gift Card
31,31,392.29,2026-01-30,Debit Card
32,32,392.52,2026-01-30,Gift Card
33,33,215.79,2026-01-27,Gift Card
34,34,215.49,2026-02-04,Credit Card
35,35,293.98,2026-01-15,PayPal
36,36,163.75,2026-02-05,Credit Card
37,37,70.97,2026-01-29,Credit Card
38,38,24.31,2026-01-05,PayPal
39,39,187.36,2026-01-04,Credit Card
40,40,151.83,2026-01-07,Gift Card
41,41,387.08,2025-12-28,PayPal
42,42,184.6,2026-02-03,Debit Card
43,43,98.6,2025-12-26,Credit Card
44,44,494.67,2025-09-16,Credit Card
45,45,408.75,2025-10-27,PayPal
46,46,336.11,2025-10-06,Debit Card
47,47,303.75,2025-08-26,Gift Card
48,48,224.01,2025-11-14,Gift Card
49,49,33.79,2025-08-30,Debit Card
50,50,371.16,2025-12-31,PayPal
51,51,112.54,2026-01-20,Debit Card
52,52,465.31,2025-08-12,Credit Card
53,53,368.41,2025-11-28,Credit Card
54,54,444.86,2026-02-03,PayPal
55,55,323.43,2026-01-31,Credit Card
56,56,45.52,2026-02-05,Debit Card
57,57,295.71,2026-02-05,Gift Card
58,58,100.68,2025-12-13,Credit Card
59,59,482.91,2025-11-04,Debit Card
60,60,371.72,2025-11-09,Gift Card
61,61,245.23,2025-12-04,Debit Card
62,62,77.38,2026-01-22,Debit Card
63,63,252.0,2026-01-25,Gift Card
64,64,213.13,2025-12-01,Credit Card
65,65,342.6,2025-06-20,Gift Card
66,66,237.21,2025-09-09,PayPal
67,67,233.48,2025-05-06,Gift Card
68,68,192.62,2025-09-08,Credit Card
69,69,356.85,2025-08-31,Credit Card
70,70,209.21,2025-12-18,Gift Card
71,71,31.55,2025-10-12,Debit Card
72,72,99.79,2025-06-26,PayPal
73,73,174.59,2025-11-25,Debit Card
74,74,91.82,2025-09-23,PayPal
75,75,380.62,2025-07-31,Debit Card
76,76,271.85,2025-08-28,Gift Card
77,77,491.1,2025-07-24,PayPal
